StudentID,Name,Major,GPA,Credits_Completed
1001,Student_1,Data Science,3.69,111
1002,Student_2,Computer Science,3.71,54
1003,Student_3,Engineering,2.87,96
1004,Student_4,Engineering,3.21,115
1005,Student_5,Computer Science,3.71,28
1006,Student_6,Data Science,3.05,32
1007,Student_7,Data Science,2.6,40
1008,Student_8,Engineering,2.81,31
1009,Student_9,Data Science,3.37,115
1010,Student_10,Business,2.99,18
1011,Student_11,Mathematics,3.74,69
1012,Student_12,Computer Science,2.77,17
1013,Student_13,Engineering,2.57,95
1014,Student_14,Business,3.52,87
1015,Student_15,Business,2.94,58
1016,Student_16,Data Science,3.52,78
1017,Student_17,Computer Science,2.98,17
1018,Student_18,Mathematics,3.71,49
1019,Student_19,Engineering,3.48,36
1020,Student_20,Data Science,3.48,33
1021,Student_21,Data Science,3.04,98
1022,Student_22,Business,2.76,48
1023,Student_23,Data Science,3.72,113
1024,Student_24,Engineering,3.77,70
1025,Student_25,Computer Science,3.98,64
1026,Student_26,Engineering,3.12,60
1027,Student_27,Engineering,2.75,20
1028,Student_28,Mathematics,3.78,31
1029,Student_29,Mathematics,2.67,21
1030,Student_30,Business,3.7,53
1031,Student_31,Business,3.7,30
1032,Student_32,Mathematics,2.76,79
1033,Student_33,Mathematics,3.76,118
1034,Student_34,Engineering,3.39,52
1035,Student_35,Computer Science,2.77,45
1036,Student_36,Mathematics,3.7,73
1037,Student_37,Business,3.14,94
1038,Student_38,Computer Science,3.22,87
1039,Student_39,Business,3.42,111
1040,Student_40,Data Science,3.51,78
1041,Student_41,Business,3.44,41
1042,Student_42,Data Science,2.83,102
1043,Student_43,Business,2.81,35
1044,Student_44,Computer Science,3.49,109
1045,Student_45,Computer Science,3.45,55
1046,Student_46,Engineering,3.0,27
1047,Student_47,Data Science,2.51,111
1048,Student_48,Computer Science,2.6,18
1049,Student_49,Engineering,3.66,32
1050,Student_50,Data Science,3.47,21
